do	FOR WITH TAKE-ING OF TO
go	THROUGH FOR WITH TAKE-ING TO ABOUT INTO AFTER OFF AT OVER AGAINST BY ON WITHOUT
K/O	OF
act	FOR TO ON UPON
add	TO
aid	IN TO TAKE-INF GIVE-INF-OBJECT
aim	FOR TAKE-ING AT TAKE-INF GIVE-INF-SUBJECT
arm	WITH
ask	FOR OF TO AFTER TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT
awe	INTO
bam	AGAINST
bar	FROM
bat	TO
beg	FOR OF TAKE-INF GIVE-INF-OBJECT FROM
bet	ON
bid	TAKE-INF
bow	TO
box	WITH AGAINST
bum	OFF ALONG
buy	FOR FROM
con	TAKE-ING INTO GIVE-ING-OBJECT OUT
cry	FOR TAKE-ING AGAINST
cut	FOR OF AT ON TAKE-INF GIVE-INF-SUBJECT ACROSS
dam	WITH
die	OF FROM
dig	FOR INTO AT
din	IN INTO
dip	IN INTO
dot	WITH
eat	THROUGH INTO
egg	TAKE-INF GIVE-INF-OBJECT
eke	WITH BY
end	IN WITH TAKE-ING BY
fag	FOR
fax	TO
fit	WITH TAKE-INF GIVE-INF-OBJECT
fix	FOR WITH TAKE-ING ON TAKE-INF GIVE-INF-SUBJECT
fly	AT FROM
fob	WITH ON
fry	FOR
gab	ABOUT
gad	ABOUT AROUND
gen	ON
get	FOR TAKE-ING TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT GIVE-ING-OBJECT
gun	FOR
hap	IN ON UPON
hit	TAKE-ING TO AT AGAINST ON UPON
hum	FOR WITH
jab	AT
jam	IN WITH INTO ON ONTO
jar	ON
jaw	AT
jet	ON
key	FOR TO ABOUT
lag	WITH BEHIND
lam	INTO AT
lap	AGAINST
lay	ABOUT INTO
let	FOR OF TO ABOUT INTO ON TAKE-INF GIVE-INF-OBJECT
lie	WITH BEHIND UNDER
log	INTO ONTO
lug	TO
map	TAKE-INF ONTO
mix	FOR WITH
nab	FOR TAKE-ING GIVE-ING-OBJECT
net	FOR
nip	IN AT
opt	FOR OF TAKE-INF GIVE-INF-SUBJECT
owe	FOR TO
own	TAKE-ING TO
pad	WITH ALONG
pan	ROUND FOR TO OVER
paw	AT
pay	FOR TAKE-ING TO INTO TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT GIVE-ING-OBJECT
peg	AT
pen	IN TO
pin	ON
pit	AGAINST
ply	WITH
pop	AT ON
pry	OF INTO
pun	ON UPON
put	UNTIL IN FOR WITH TAKE-ING TO INTO OFF AT ON UPON GIVE-ING-OBJECT ACROSS ONTO TILL
rag	FOR TAKE-ING ABOUT ON GIVE-ING-OBJECT
rap	AT OVER ON
rid	OF
rig	IN WITH
rob	OF
row	WITH AGAINST
rub	WITH INTO AGAINST BY ON ONTO
rue	TAKE-ING
run	THROUGH IN FOR WITH OF INTO AT OVER AGAINST ON UPON ACROSS ACCROSS
saw	THROUGH AT
say	TO TAKE-INF GIVE-INF-OBJECT
see	TAKE-ING ABOUT TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT
set	IN FOR WITH TAKE-ING TO ABOUT AGAINST ON TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT GIVE-ING-OBJECT BESIDE
sew	FOR ON ONTO
shy	AT
sin	AGAINST
sit	FOR WITH ON
sow	IN WITH
spy	ON UPON
sue	FOR
sup	OFF ON
tag	TO ONTO
tap	ON
tax	WITH
tie	IN FOR WITH TO ON
tip	TO INTO
top	WITH
tow	TO
try	FOR TAKE-ING TAKE-INF GIVE-INF-SUBJECT
tug	AT
vow	TO TAKE-INF GIVE-INF-SUBJECT
wad	WITH
war	FOR WITH AGAINST
win	FOR
yap	ABOUT
Lord	OVER
abet	IN
abut	ON
ache	FOR WITH
ally	WITH TO AGAINST
avow	TAKE-INF GIVE-INF-OBJECT
back	THROUGH OF INTO FROM ONTO
bait	WITH
bake	FOR
bale	OF
balk	AT
band	AGAINST
bang	AT ON
bank	WITH ON UPON
bark	AT
base	ON UPON
bash	TO
bear	IN FOR WITH TAKE-ING ON UPON TAKE-INF GIVE-INF-SUBJECT UNDER
belt	UP
bend	TO
bilk	OF OUT
bill	FOR TAKE-INF GIVE-INF-OBJECT
bind	WITH TO TAKE-INF GIVE-INF-OBJECT
blab	TO
blot	WITH
blow	FOR ON
blur	WITH BY
bode	FOR
boil	FOR TO
bond	WITH TO
bone	ON
book	FOR TO AT
bowl	OUT
brag	OF ABOUT
brew	FOR
brim	WITH
bump	INTO
burn	WITH
bust	TAKE-ING
busy	WITH TAKE-ING
butt	ON
buzz	FOR WITH TAKE-INF GIVE-INF-OBJECT
cake	WITH ON
call	FOR TO
care	ABOUT TAKE-INF GIVE-INF-SUBJECT
carp	AT
cash	IN FOR
cast	FOR OF ASIDE
cede	TO
chat	ABOUT
chip	WITH OF OFF AT TAKE-INF
chop	OFF AT
chum	WITH
cite	FOR TAKE-ING GIVE-ING-OBJECT
clap	IN ON
claw	AT
clog	WITH
coat	IN WITH
coax	TAKE-ING INTO GIVE-ING-OBJECT OUT
coil	AROUND
comb	FOR
come	THROUGH IN FOR WITH OF TO INTO AGAINST BY ON UPON FROM ALONG ACROSS UNDER BETWEEN BEFORE
cook	FOR
cope	WITH
copy	FOR OFF FROM
crab	ABOUT
cram	IN FOR WITH INTO ON ONTO
crop	WITH
crow	WITH ABOUT
cure	OF
curl	AROUND
dare	TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT
date	TO FROM
daub	WITH ON ONTO
dawn	ON UPON
deal	WITH TAKE-ING TO
deck	IN WITH
defy	TAKE-ING TAKE-INF GIVE-INF-OBJECT
deny	TAKE-ING TAKE-INF GIVE-INF-OBJECT
dice	FOR WITH
dine	ON
dive	FOR INTO OFF FROM
dock	OFF AT FROM
dole	TO
doom	TO TAKE-INF GIVE-INF-OBJECT
dote	ON UPON
